##RMOD_seq	RMASK_align
rnd-1_family-29#LTR/Pao	LTR/Pao::BEL-10_DAn-LTR
rnd-1_family-29#LTR/Pao	LTR/Pao::BEL-12_DAn-I
rnd-1_family-29#LTR/Pao	LTR/Pao::BEL-3_DMoj-I
rnd-1_family-20#LTR/Pao	LTR/Pao::BEL-10_DAn-I
rnd-1_family-20#LTR/Pao	LTR/Pao::BEL-10_DAn-I
rnd-1_family-20#LTR/Pao	LTR/Pao::BEL-10_DAn-LTR
rnd-1_family-20#LTR/Pao	LTR/Pao::BEL-3_DMoj-I
rnd-4_family-809#LTR/Gypsy	LTR/Gypsy::Gypsy-26_DAn-I
rnd-4_family-809#LTR/Gypsy	LTR/Gypsy::Gypsy-26_DAn-LTR
rnd-3_family-244#LTR/Gypsy	LTR/Gypsy::Gypsy-2_DAn-LTR
rnd-3_family-244#LTR/Gypsy	LTR/Gypsy::Gypsy-2_DAn-I
rnd-5_family-1988#LINE/Jockey	LINE/I-Jockey::Jockey-8_DAn
rnd-5_family-1988#LINE/Jockey	LINE/I-Jockey::Jockey-14_DBp
rnd-5_family-1988#LINE/Jockey	LINE/I-Jockey::Jockey-8_DAn
rnd-1_family-861#LTR/Gypsy	LTR/Gypsy::Gypsy-38_DAn-I
rnd-1_family-861#LTR/Gypsy	LTR/Gypsy::Gypsy-7_DEl-I
rnd-1_family-861#LTR/Gypsy	LTR/Gypsy::Gypsy-7_DEl-LTR
rnd-5_family-1193#LTR/Gypsy	LTR/Gypsy::Gypsy-16_DBp-I
rnd-5_family-2379#LTR/Pao	LTR/Pao::BEL-5_DEu-LTR
rnd-5_family-2379#LTR/Pao	LTR/Pao::BEL-5_DEu-I
rnd-5_family-5754#LTR/Pao	LTR/Pao::BEL-8_DAn-LTR
rnd-5_family-5754#LTR/Pao	LTR/Pao::BEL-8_DAn-I
rnd-4_family-5#RC/Helitron	LTR/Gypsy::Gypsy-23_DAn-LTR
rnd-4_family-5#RC/Helitron	LTR/Gypsy::Gypsy-23_DAn-I
rnd-4_family-5#RC/Helitron	RC/Helitron::Helitron-N1_DAn
rnd-4_family-5#RC/Helitron	DNA/hAT-Ac::hAT-N1B_DBp
rnd-4_family-5#RC/Helitron	DNA/hAT-Ac::hAT-N1B_DBp
rnd-4_family-5#RC/Helitron	DNA/hAT?::hAT-N1_DF
rnd-5_family-303#LINE/I-Jockey	LTR/Gypsy::Gypsy-6_DEu-I
rnd-5_family-303#LINE/I-Jockey	LINE/I-Jockey::Jockey-3_DGri
rnd-5_family-303#LINE/I-Jockey	Simple_repeat::(CAG)n
rnd-1_family-717#LTR/Gypsy	LTR/Gypsy::Gypsy-40_DAn-I
rnd-1_family-717#LTR/Gypsy	LTR/Gypsy::Gypsy-40_DAn-LTR
rnd-4_family-64#LINE/I-Jockey	LINE/I-Jockey::Jockey-2_DGri
rnd-4_family-64#LINE/I-Jockey	Simple_repeat::(CAG)n
rnd-4_family-64#LINE/I-Jockey	LINE/I-Jockey::Jockey-3_DGri
rnd-4_family-64#LINE/I-Jockey	LTR/Gypsy::Gypsy8-I_Dpse
rnd-1_family-806#LTR/Pao	LTR/Pao::BEL-17_DAn-LTR
rnd-1_family-806#LTR/Pao	LTR/Pao::BEL-17_DAn-I
rnd-1_family-644#LTR/Gypsy	LTR/Gypsy::Gypsy-18_DAn-I
rnd-1_family-644#LTR/Gypsy	LTR/Gypsy::Gypsy-18_DAn-LTR
rnd-1_family-675#RC/Helitron	RC/Helitron::Helitron-8_DRh
rnd-1_family-675#RC/Helitron	RC/Helitron::Helitron-N2_DBp
rnd-1_family-705#LTR/Gypsy	LTR/Gypsy::Gypsy-22_DAn-I
rnd-1_family-705#LTR/Gypsy	LTR/Gypsy::Gypsy-29_DEl-I
rnd-5_family-1261#DNA/hAT-hobo	DNA/hAT-hobo::Hoana3
rnd-5_family-582#LTR/Copia	LTR/Copia::Copia-7_DAn-I
rnd-5_family-582#LTR/Copia	LTR/Copia::Copia-7_DAn-LTR
rnd-5_family-193#LINE/Jockey	LINE/I-Jockey::Jockey-8_DAn
rnd-5_family-193#LINE/Jockey	LINE/I-Jockey::Jockey-1_DF
rnd-5_family-3251#LINE/Jockey	LINE/I-Jockey::Jockey-8_DVi
rnd-5_family-6970#DNA/hAT-hobo	LTR/Gypsy::Gypsy-14_DBp-I
rnd-5_family-6970#DNA/hAT-hobo	DNA/hAT-hobo::hAT-2_DRh
rnd-5_family-6970#DNA/hAT-hobo	DNA/hAT-hobo::hAT-2_DRh
rnd-5_family-6970#DNA/hAT-hobo	DNA/hAT-hobo::hAT-5_DK
rnd-5_family-6970#DNA/hAT-hobo	DNA/hAT-hobo::hAT-8_DBp
rnd-5_family-4138#DNA/CMC-Transib	DNA/CMC-Transib::Transib-5_DAn
rnd-1_family-167#LTR/Pao	LTR/Pao::BEL-21_DAn-I
rnd-1_family-167#LTR/Pao	LTR/Pao::BEL-21_DAn-LTR
rnd-1_family-230#LINE/LOA	LINE/R1-LOA::LOA-1_DYa
rnd-1_family-230#LINE/LOA	LINE/R1-LOA::Loa-1_DAn
rnd-1_family-390#LINE/R1	DNA/MULE-NOF::Rehavkus-1_DA
rnd-1_family-390#LINE/R1	LINE/R1::R1B_DAn
rnd-1_family-18#RC/Helitron	RC/Helitron::Helitron-N1_DAn
rnd-1_family-18#RC/Helitron	DNA/hAT-hobo::Hoana8
rnd-1_family-18#RC/Helitron	DNA/hAT?::hAT-N1_DF
rnd-1_family-18#RC/Helitron	RC/Helitron::Helitron-N1_DAn
rnd-1_family-18#RC/Helitron	RC/Helitron::Helitron-N1_DBp
rnd-1_family-593#LTR/Gypsy	LTR/Gypsy::Gypsy-20_DAn-I
rnd-1_family-593#LTR/Gypsy	LTR/Gypsy::Gypsy-25_DAn-LTR
rnd-5_family-4460#Unknown	LTR/Copia::Copia-6_DAn-LTR
rnd-5_family-4460#Unknown	LTR/Copia::Copia-6_DAn-I
rnd-5_family-9637#LTR/Gypsy	LTR/Gypsy::Gypsy-2_DAn-I
rnd-5_family-846#DNA/CMC-Transib	DNA/CMC-Transib::Transib-11_DAn
rnd-1_family-6#LINE/Jockey	LINE/I-Jockey::Jockey-2_DEu
rnd-1_family-6#LINE/Jockey	LTR/Pao::BEL-11_DAn-LTR
rnd-1_family-6#LINE/Jockey	DNA/PiggyBac::piggyBac-3B_DAn
rnd-1_family-6#LINE/Jockey	DNA/hAT-Ac::hAT-N1B_DBp
rnd-1_family-6#LINE/Jockey	DNA/hAT-hobo::Hoana8
rnd-1_family-6#LINE/Jockey	RC/Helitron::Helitron-N1_DAn
rnd-1_family-6#LINE/Jockey	LINE/R1-LOA::LOA-1_DYa
rnd-1_family-6#LINE/Jockey	LINE/R1-LOA::Loa-1_DAn
rnd-1_family-6#LINE/Jockey	LINE/R1-LOA::Loa-1_DBp
rnd-1_family-6#LINE/Jockey	LINE/I-Jockey::Jockey-2_DEu
rnd-1_family-6#LINE/Jockey	LINE/I-Jockey::Jockey-4_DAn
rnd-1_family-171#LTR/Pao	LINE/CR1::CR1-3_DAn
rnd-1_family-171#LTR/Pao	LTR/Pao::BEL-6_DAn-I
rnd-1_family-209#LTR/Gypsy	LTR/Gypsy::Gypsy-30_DAn-LTR
rnd-1_family-209#LTR/Gypsy	LTR/Gypsy::Gypsy-30_DAn-I
rnd-5_family-2286#LTR/Gypsy	LTR/Gypsy::Gypsy-1_DAn-I
rnd-5_family-2286#LTR/Gypsy	LTR/Gypsy::Gypsy-1_DAn-LTR
rnd-1_family-332#LTR/Pao	LTR/Pao::BEL-18_DAn-I
rnd-1_family-332#LTR/Pao	LTR/Pao::BEL-18_DAn-LTR
rnd-1_family-386#LTR/Gypsy	LTR/Gypsy::Gypsy-2_DAn-LTR
rnd-1_family-386#LTR/Gypsy	LTR/Gypsy::Gypsy-2_DAn-I
rnd-1_family-715#LTR/Copia	LTR/Copia::Copia-2_DAn-I
rnd-1_family-715#LTR/Copia	LTR/Copia::Copia-2_DAn-LTR
rnd-1_family-687#LTR/Pao	LTR/Pao::BEL-19_DAn-LTR
rnd-1_family-687#LTR/Pao	LTR/Pao::BEL-19_DAn-I
rnd-1_family-308#LTR/Pao	LTR/Pao::BEL-16_DAn-I
rnd-1_family-308#LTR/Pao	LTR/Pao::BEL-16_DAn-LTR
rnd-1_family-382#LTR/Gypsy	LTR/Gypsy::Gypsy-1_DBi-I
rnd-1_family-382#LTR/Gypsy	LTR/Gypsy::Gypsy-18_DBp-I
rnd-1_family-589#LTR/Gypsy	LTR/Gypsy::Gypsy-21_DBp-I
rnd-1_family-24#LINE/I	Unknown::REP-2_DTa
rnd-1_family-24#LINE/I	RC/Helitron::Helitron-N1_DAn
rnd-1_family-24#LINE/I	LINE/I::I-6_DY
rnd-1_family-65#Unknown	LTR/Pao::BEL-11_DAn-I
rnd-1_family-65#Unknown	LTR/Pao::BEL-11_DAn-LTR
rnd-1_family-622#LTR/Gypsy	LTR/Gypsy::Gypsy-7_DAn-LTR
rnd-1_family-622#LTR/Gypsy	LTR/Gypsy::Gypsy-7_DAn-I
rnd-5_family-2535#LTR/Gypsy	LTR/Gypsy::Gypsy-37_DAn-LTR
rnd-5_family-2535#LTR/Gypsy	LTR/Gypsy::Gypsy-37_DAn-I
rnd-1_family-830#LTR/Gypsy	LTR/Gypsy::Gypsy-41_DAn-I
rnd-1_family-830#LTR/Gypsy	LTR/Gypsy::Gypsy-41_DAn-LTR
rnd-1_family-822#LTR/Copia	LTR/Copia::Copia-2_DAn-LTR
rnd-1_family-822#LTR/Copia	LTR/Copia::Copia-2_DAn-I
rnd-1_family-96#Unknown	LTR/Pao::BEL-18_DAn-LTR
rnd-1_family-96#Unknown	LTR/Gypsy::Gypsy-31_DAn-I
rnd-1_family-96#Unknown	LTR/Gypsy::Gypsy-23_DAn-LTR
rnd-1_family-228#LTR/Gypsy	LTR/Gypsy::Gypsy-31_DAn-I
rnd-1_family-228#LTR/Gypsy	LTR/Gypsy::Gypsy-31_DAn-LTR
rnd-1_family-597#LTR/Gypsy	LTR/Gypsy::Gypsy-18_DAn-I
rnd-1_family-597#LTR/Gypsy	LTR/Gypsy::Gypsy-18_DAn-LTR
rnd-5_family-546#LTR/Gypsy	LTR/Gypsy::Gypsy-5_DAn-LTR
rnd-5_family-546#LTR/Gypsy	LTR/Gypsy::Gypsy-5_DAn-I
rnd-5_family-2820#LINE/I-Jockey	LINE/I-Jockey::Jockey-3_DGri
rnd-5_family-2820#LINE/I-Jockey	LTR/Gypsy::Gypsy8-I_Dpse
rnd-5_family-2820#LINE/I-Jockey	Simple_repeat::(CAG)n
rnd-1_family-282#DNA/TcMar-Mariner	DNA/TcMar-Mariner::Mariner-1_Dro
rnd-1_family-282#DNA/TcMar-Mariner	LTR/Pao::BEL-1_DBp-I
rnd-1_family-153#LTR/Gypsy	LINE/CR1::CR1-2_DAn
rnd-1_family-153#LTR/Gypsy	LTR/Gypsy::Gypsy-17_DBi-I
rnd-1_family-34#RC/Helitron	DNA/PiggyBac::piggyBac-3_DAn
rnd-1_family-34#RC/Helitron	RC/Helitron::Helitron-N1_DBp
rnd-1_family-34#RC/Helitron	LTR/Pao::BEL-18_DAn-LTR
rnd-5_family-532#DNA/hAT-hobo	DNA/hAT-hobo::hAT-2_DRh
rnd-5_family-532#DNA/hAT-hobo	DNA/hAT-hobo::hAT-8_DBp
rnd-5_family-3752#DNA/TcMar-Mariner	DNA/TcMar-Mariner::Mariner-5_DBi
rnd-1_family-132#LTR/Pao	LTR/Pao::BEL-1_DBp-I
rnd-1_family-132#LTR/Pao	LTR/Pao::BEL-16_DAn-I
rnd-1_family-94#LTR/Gypsy	LTR/Pao::BEL-14_DAn-I
rnd-1_family-94#LTR/Gypsy	LTR/Gypsy::TABOR_DA-LTR
rnd-1_family-353#LTR/Gypsy	LTR/Gypsy::Gypsy-31_DAn-I
rnd-1_family-353#LTR/Gypsy	LTR/Gypsy::Gypsy-31_DAn-LTR
rnd-5_family-426#LTR/Gypsy	LTR/Gypsy::TOM_LTR
rnd-5_family-426#LTR/Gypsy	LTR/Gypsy::TOM_I-int
rnd-5_family-427#Unknown	LTR/Pao::BEL-1_DAn-I
rnd-5_family-427#Unknown	LTR/Pao::BEL-1_DAn-LTR
rnd-5_family-1970#LTR/Gypsy	LTR/Gypsy::Gypsy-24_DAn-LTR
rnd-5_family-1970#LTR/Gypsy	LTR/Gypsy::Gypsy-24_DAn-I
rnd-5_family-3080#LTR/Gypsy	LTR/Gypsy::Gypsy-22_DEl-LTR
rnd-5_family-3080#LTR/Gypsy	LTR/Gypsy::Gypsy-7_DEu-I
rnd-5_family-504#LTR/Pao	LTR/Pao::BEL-3_DAn-LTR
rnd-5_family-504#LTR/Pao	LTR/Pao::BEL-3_DAn-I
rnd-5_family-7341#LINE/I	LTR/Gypsy::Gypsy-53_DEl-I
rnd-5_family-7341#LINE/I	LINE/I::I-1_DAn
rnd-5_family-838#LTR/Copia	LTR/Copia::Copia-8_DAn-LTR
rnd-5_family-838#LTR/Copia	LTR/Copia::Copia-8_DAn-I
rnd-5_family-9555#LTR/Pao	LTR/Pao::BEL-12_DBp-I
rnd-5_family-9555#LTR/Pao	LTR/Pao::BEL-12_DBp-LTR
rnd-5_family-505#LTR/Pao	LTR/Pao::BEL-12_DAn-LTR
rnd-5_family-505#LTR/Pao	LTR/Pao::BEL-3_DMoj-I
rnd-5_family-505#LTR/Pao	LTR/Pao::BEL-10_DAn-I
rnd-5_family-257#LINE/Jockey	LINE/I-Jockey::Outcast-2_DAn
rnd-4_family-545#LTR/Gypsy	LTR/Gypsy::Gypsy-4_DAn-I
rnd-4_family-545#LTR/Gypsy	LTR/Gypsy::Gypsy-4_DAn-LTR
rnd-5_family-151#DNA/hAT-Ac	DNA/hAT-Charlie::hAT-1_DAn
rnd-5_family-151#DNA/hAT-Ac	DNA/hAT-Ac::Hoana5
rnd-5_family-151#DNA/hAT-Ac	DNA/hAT-Ac::Homo3
rnd-5_family-580#RC/Helitron	RC/Helitron::Helitron-2_DBp
rnd-5_family-580#RC/Helitron	RC/Helitron::Helitron-2_DF
rnd-5_family-2777#LTR/Copia	LTR/Copia::Copia-1_DBi-I
rnd-5_family-3385#LTR/Gypsy	LTR/Gypsy::Gypsy-8_DBi-LTR
rnd-5_family-3385#LTR/Gypsy	LTR/Gypsy::Gypsy-9_DFi-I
rnd-5_family-8610#LTR/Copia	LTR/Copia::Copia-1_DAn-LTR
rnd-5_family-8610#LTR/Copia	LTR/Copia::Copia-1_DAn-I
rnd-5_family-1710#LINE/LOA	LINE/R1-LOA::LOA-1_DYa
rnd-1_family-893#LTR/Gypsy	LTR/Gypsy::Gypsy-27_DAn-I
rnd-1_family-893#LTR/Gypsy	LTR/Gypsy::Gypsy-27_DAn-LTR
rnd-1_family-804#LTR/Gypsy	LTR/Gypsy::Gypsy-34_DEl-I
rnd-1_family-804#LTR/Gypsy	LTR/Gypsy::Gypsy-36_DAn-I
rnd-1_family-804#LTR/Gypsy	LTR/Gypsy::Gypsy-36_DAn-LTR
rnd-5_family-2896#LTR/Copia	LTR/Copia::Copia-4_DAn-I
rnd-5_family-2896#LTR/Copia	LTR/Copia::Copia-4_DAn-LTR
rnd-5_family-7407#LTR/Gypsy	LTR/Gypsy::TRANSPAC_I-int
rnd-5_family-7407#LTR/Gypsy	LTR/Gypsy::TRANSPAC_LTR
rnd-5_family-544#LTR/Gypsy	LTR/Gypsy::Gypsy-11_DAn-I
rnd-5_family-544#LTR/Gypsy	LTR/Gypsy::Gypsy-11_DAn-LTR
rnd-1_family-772#LTR/Gypsy	LTR/Gypsy::Gypsy-25_DAn-LTR
rnd-1_family-772#LTR/Gypsy	LTR/Gypsy::Gypsy-25_DAn-I
rnd-5_family-1260#LTR/Gypsy	LTR/Gypsy::Gypsy-32_DAn-I
rnd-5_family-1260#LTR/Gypsy	LTR/Gypsy::Gypsy-32_DAn-LTR
rnd-5_family-583#LTR/Gypsy	LTR/Gypsy::Gypsy-9_DAn-LTR
rnd-5_family-583#LTR/Gypsy	LTR/Gypsy::Gypsy-9_DAn-I
rnd-1_family-54#LTR/Pao	LTR/Pao::BEL-18_DAn-LTR
rnd-1_family-54#LTR/Pao	LTR/Pao::BEL-18_DAn-I
rnd-1_family-578#LTR/Gypsy	LTR/Gypsy::Gypsy-8_DAn-I
rnd-1_family-578#LTR/Gypsy	LTR/Gypsy::Gypsy-8_DAn-LTR
