## species	class	freq	bp	percent
dana	RC/Helitron::Helitron-1_DF	123	39195.0	0.0005024375689113091
dana	LINE/I-Jockey::Jockey-9_DAn	55	33119.0	0.00042454981106706586
dana	LTR/Pao::BEL-18_DAn-LTR	1606	905560.0	0.011608301183909302
dana	LINE/I-Jockey::Jockey-5_DAn	449	171944.0	0.0022041363783361686
dana	DNA/MuLE-NOF	76	18885.0	0.00024208530396453815
dana	DNA/TcMar-Tc1::Mariner-2_DAn	129	70622.0	0.0009052977673594712
dana	Chimera/DNA/CMC-Transib	564	161117.0	0.002065345931631162
dana	DNA/TcMar-Tc1::Mariner-6_DAn	42	28445.0	0.0003646341790453422
dana	DNA/TcMar-Tc1::Mariner-10_DAn	192	87318.0	0.0011193224554713022
dana	DNA/CMC-Chapaev-3::Chapaev3-1_DA	243	73189.0	0.0009382039349674653
dana	LTR/Gypsy::Gypsy-13_DAn-I	1005	856307.0	0.010976930917763398
dana	LTR/Gypsy::Gypsy-6_DAn-I	161	54586.0	0.0006997335664394111
dana	DNA/TcMar-Tc1::Mariner-11_DAn	48	17982.0	0.00023050981921579692
dana	LINE/I-Jockey::Jockey-11_DAn	1079	621354.0	0.007965087209932838
dana	LINE/I-Jockey::Jockey-3_DAn	642	608017.0	0.007794121274059126
dana	LINE/I-Jockey::Jockey-13_DAn	84	46473.0	0.0005957336685805656
dana	LTR/Pao::BEL-2_DBp-I	475	603531.0	0.007736615598995058
dana	Chimera/LINE/R1-LOA	202	28292.0	0.00036267288428724984
dana	LTR/Gypsy::Gypsy-29_DEl-I	182	91004.0	0.0011665729945453444
dana	DNA/TcMar-Mariner::Mariner-2_DEr	86	15273.0	0.00019578336496957327
dana	DNA::DNA2-1_DAn	463	127929.0	0.0016399116150849565
dana	LINE/I-Jockey::Jockey-3_DRh	1391	1509439.0	0.01934937776706002
dana	LTR/Gypsy::Gypsy-24_DBp-I	437	383150.0	0.004911569193222811
dana	LINE/CR1::CR1-4_DAn	1231	867029.0	0.011114375377869714
dana	DNA/CMC-EnSpm	111	38498.0	0.0004935027816799994
dana	DNA/TcMar-Tc1::Mariner-1_DAn	134	46008.0	0.0005897728707863633
dana	LTR/Gypsy::Gypsy-38_DAn-LTR	69	7520.0	9.639827830623917e-05
dana	LTR/Gypsy::Gypsy-7_DEl-LTR	183	23283.0	0.00029846291406970306
dana	LTR/Gypsy::Gypsy-38_DAn-I	22	4241.0	5.436503966712239e-05
dana	LTR/Gypsy::Gypsy-7_DEl-I	393	98888.0	0.0012676373597270453
dana	LTR/Gypsy::Gypsy-22_DAn-I	872	584330.0	0.00749047951631446
dana	DNA/TcMar-Tc1::Mariner-7_DAn	229	52314.0	0.0006706089802277389
dana	LTR/Gypsy::Gypsy-31_DAn-LTR	285	73820.0	0.0009462926734795979
dana	LTR/Gypsy::Gypsy-35_DAn-I	538	358921.0	0.004600979580844903
dana	LTR/Gypsy::Gypsy-9_DAn-I	389	243198.0	0.0031175357031277603
dana	LTR/Gypsy::Gypsy-31_DAn-I	433	146357.0	0.0018761386726151926
dana	LINE/I::I-6_DY	34	8448.0	0.0001082942360546687
dana	LTR/Copia::Copia-6_DAn-I	133	119824.0	0.0015360142685860111
dana	LTR/Copia::Copia-2_DAn-I	87	28333.0	0.00036319846000673866
dana	DNA/Maverick::Polinton-1_DAn	170	210179.0	0.0026942677840594473
dana	Chimera/DNA/Maverick	28	24805.0	0.0003179733102907264
dana	LTR/Pao::BEL-6_DAn-I	1527	331157.0	0.00424507508631107
dana	LTR/Pao::BEL-16_DAn-I	1559	309730.0	0.003970404087738226
dana	LTR/Gypsy::Gypsy-17_DAn-LTR	69	33670.0	0.0004316130359801959
dana	LTR/Pao::BEL-6_DBp-I	112	37549.0	0.0004813376266118318
dana	LTR/Pao::BEL-11_DAn-LTR	419	77278.0	0.0009906204987964828
dana	LINE/I-Jockey::Jockey-8_DAn	1384	529414.0	0.0067865157062791635
dana	LTR/Gypsy::Gypsy-23_DAn-LTR	205	28761.0	0.0003686849577614023
dana	LINE/I::I-2_DEl	211	141639.0	0.0018156590081140173
dana	LTR/Pao::BEL-14_DAn-I	1081	1097741.0	0.014071854046033151
dana	DNA/TcMar-Mariner::Mariner-1_DPe	301	84138.0	0.001078558289910951
dana	LTR/Pao::BEL-16_DAn-LTR	246	53354.0	0.000683940657014772
dana	LINE/R1-LOA::LOA-1_DYa	872	182206.0	0.0023356841352482204
dana	LTR/Pao::BEL-1_DBp-I	1635	778709.0	0.009982208364570904
dana	LTR/Pao::BEL-10_DAn-I	1585	900386.0	0.011541976091893813
dana	LINE/R1-LOA::Loa-2_DEl	159	23823.0	0.00030538513086297023
dana	Chimera/LINE/LOA	3619	321690.0	0.004123718370789106
dana	LINE/R1-LOA::LOA-3_DPer	143	9661.0	0.0001238435859995448
dana	LINE/CR1::CR1-1_DAn	565	444045.0	0.005692177325863561
dana	LTR/Gypsy::Gypsy-13_DBp-I	41	11744.0	0.00015054539633357352
dana	LTR/Gypsy::Gypsy-13_DAn-LTR	67	13130.0	0.0001683124194362926
dana	Chimera/LINE/CR1	1452	386136.0	0.004949846488305582
dana	LTR/Gypsy::Gypsy-31_DEl-I	264	106975.0	0.001371303965666215
dana	LTR/Gypsy::Gypsy-32_DAn-LTR	182	67009.0	0.0008589830094445187
dana	LTR/Gypsy::Gypsy-32_DAn-I	37	28994.0	0.00037167176611849716
dana	LTR/Gypsy::Gypsy-4_DAn-I	337	81185.0	0.0010407040191877696
dana	LTR/Gypsy::Gypsy-25_DAn-I	104	56215.0	0.0007206155870991004
dana	LTR/Gypsy::Gypsy-20_DAn-I	411	274062.0	0.003513178849622942
dana	LINE/I-Jockey::Jockey-1_DEl	42	26722.0	0.0003425471799068249
dana	LINE/I-Jockey::Jockey-12_DAn	391	193494.0	0.002480384104067479
dana	LINE/I-Jockey::Jockey-1_DAn	219	64262.0	0.0008237694362387689
dana	LINE/I-Jockey::Jockey-10_DAn	86	9165.0	0.000117485401685729
dana	DNA/TcMar-Tc1::Mariner-28_DF	159	26054.0	0.00033398414135515366
dana	LTR/Gypsy::Gypsy-2_DBp-I	50	6336.0	8.122067704100152e-05
dana	LTR/Pao::BEL-5_DAn-LTR	80	22434.0	0.00028757965100028855
dana	RC/Helitron	3725	1307702.0	0.016763327305535317
dana	LINE/R1-LOA	62	4979.0	6.382540261792086e-05
dana	LINE/R1-LOA::Loa-2_DF	96	9848.0	0.00012624072403721323
dana	DNA/TcMar-Mariner::Mariner-1_DEl	259	122561.0	0.0015710996525918855
dana	LTR/Gypsy::TABOR_DA-I	369	120522.0	0.0015449618747373083
dana	LINE/R1::R1B_DAn	412	326935.0	0.004190953606123711
dana	LINE/R1::R1-4_DAn	379	159341.0	0.0020425795297333055
dana	Chimera/DNA/TcMar-Mariner	164	38797.0	0.0004973356387562715
dana	RC/Helitron::Helitron-N2_DBp	117	21207.0	0.000271850836175587
dana	DNA/TcMar-Tc1::Mariner-8_DAn	96	47598.0	0.0006101549535665389
dana	DNA/hAT-Tip100	137	105378.0	0.0013508321504461266
dana	LTR/Gypsy::Gypsy-20_DBp-I	56	31179.0	0.00039968110629125416
dana	LINE/R1::R1-2_DAn	110	67005.0	0.0008589317337645686
dana	LINE/RTE-BovB::RTE-2_DAn	54	94467.0	0.0012109649144621672
dana	LTR/Gypsy::Gypsy-11_DBp-I	81	13681.0	0.00017537564434942263
dana	LTR/Gypsy::Gypsy-16_DAn-I	315	139584.0	0.0017893161275396397
dana	LINE/CR1::CR1-3_DAn	336	48922.0	0.000627127203630031
dana	Unknown::REP-2_DTa	47	3399.0	4.357150903762061e-05
dana	LTR/Gypsy::Gypsy-10_DSim-I	48	5466.0	7.006821665184885e-05
dana	LTR/Gypsy::Gypsy-23_DAn-I	1549	744030.0	0.00953766103832329
dana	DNA/CMC-Transib::Transib-6_DAn	113	70067.0	0.000898183266766391
dana	LTR/Gypsy::Gypsy-7_DFi-I	84	26722.0	0.0003425471799068249
dana	DNA/TcMar-Tc1::Mariner-17_DAn	80	27813.0	0.0003565326216132221
dana	LTR/Gypsy::Gypsy-12_DAn-I	299	179145.0	0.0022964454211663854
dana	LTR/Gypsy::Gypsy-2_DAn-I	1159	707762.0	0.009072744448215486
dana	RC/Helitron::Helitron-2_DF	44	4650.0	5.9607977942022894e-05
dana	RC/Helitron::Helitron-2_DBp	164	59860.0	0.0007673405504536539
dana	LTR/Gypsy::Gypsy-7_DBp-I	268	47134.0	0.0006042069746923242
dana	DNA/CMC-Transib::Transib-9_DAn	160	50846.0	0.0006517908056860422
dana	DNA/CMC-Transib::Transib-1_DK	211	62349.0	0.0007992468423026205
dana	LINE/R1-LOA::LOA-1_DPer	268	48066.0	0.0006161542081207038
dana	DNA/hAT-hobo::hAT-2_DRh	128	21225.0	0.00027208157673536256
dana	Chimera/DNA/hAT-hobo	165	32536.0	0.00041707638071433484
dana	LINE/I-Jockey::Outcast-1_DAn	61	53169.0	0.0006815691568170786
dana	DNA/TcMar-Tc1::Mariner-19_DF	31	6844.0	8.773268839466768e-05
dana	DNA/TcMar-Mariner::Mariner-7_DEl	50	14979.0	0.00019201460249323893
dana	LTR/Gypsy::Gypsy-17_DBi-LTR	48	9505.0	0.00012184383448148981
dana	DNA/TcMar-Tc1::Mariner-15_DAn	91	45881.0	0.0005881448679479468
dana	DNA/MULE-NOF::Rehavkus-1_DA	627	161659.0	0.002072293786264404
dana	DNA/TcMar-Tc1::Mariner-2_DYa	98	19181.0	0.00024587970428084757
dana	LTR/Gypsy::Gypsy-41_DAn-I	59	41423.0	0.00053099812264353
dana	LTR/Gypsy::Gypsy-37_DAn-I	36	12169.0	0.00015599343732827456
dana	LTR/Gypsy::BLOOD_LTR	77	9505.0	0.00012184383448148981
dana	RC/Helitron::Helitron-3_DRh	176	85637.0	0.0010977738509722612
dana	RC/Helitron::Helitron-1_DBp	243	164322.0	0.0021064305701912014
dana	LTR/Gypsy::Gypsy-7_DAn-I	191	104196.0	0.001335680187020864
dana	LTR/Gypsy::Gypsy-28_DAn-LTR	251	43379.0	0.0005560719301391422
dana	DNA/TcMar-Mariner::Mariner-1_Dro	542	75421.0	0.0009668157643796363
dana	LTR/Copia::Copia-4_DAn-I	78	63931.0	0.0008195263737228958
dana	LTR/Pao::BEL-1_DEre-LTR	42	2727.0	3.495719480599924e-05
dana	LINE/I-Jockey::Jockey-14_DBp	77	3964.0	5.081419883057608e-05
dana	LTR/Gypsy::Gypsy-18_DAn-I	62	25004.0	0.0003205242753682453
dana	DNA/TcMar-Tc1::Mariner-2_DK	61	9877.0	0.00012661247271685165
dana	DNA/CMC-Chapaev-3	252	48839.0	0.0006260632332710658
dana	DNA/hAT-hobo::Hoana4	113	41093.0	0.0005267678790476445
dana	LTR/Gypsy::Gypsy-16_DBp-I	103	41870.0	0.0005367281798779567
dana	LINE/I::I-1_DK	40	15857.0	0.00020326961424229183
dana	LTR/Gypsy::Gypsy-33_DAn-LTR	59	31138.0	0.00039915553057176534
dana	DNA/TcMar-Mariner::Mariner1_DYa	44	17802.0	0.0002282024136180412
dana	LTR/Copia::Copia-8_DAn-I	134	29318.0	0.0003758250961944575
dana	DNA/CMC-Transib::Transib-11_DAn	98	29380.0	0.00037661986923368445
dana	DNA/PiggyBac::piggyBac-2_DAn	179	64121.0	0.0008219619685205269
dana	LTR/Gypsy::Gypsy-21_DAn-LTR	66	44971.0	0.0005764796507592929
dana	LINE/CR1	29	16304.0	0.00020899967147671857
dana	DNA/hAT-hATm	61	38955.0	0.0004993610281143015
dana	DNA/TcMar-Tc1::Mariner-12_DAn	107	37343.0	0.00047869692909440024
dana	LTR/Gypsy::Gypsy-35_DAn-LTR	116	88652.0	0.0011364228947346696
dana	LTR/Gypsy::Gypsy-27_DAn-LTR	152	52400.0	0.0006717114073466666
dana	LTR/Gypsy::Gypsy-3_DAn-LTR	35	32564.0	0.00041743531047398573
dana	LINE/LOA	163	211891.0	0.002716213775078102
dana	DNA/hAT	54	16506.0	0.0002115890933142
dana	Chimera/DNA/TcMar-Tc1	33	10355.0	0.00013273991647089184
dana	LTR/Gypsy::Gypsy-24_DEl-LTR	33	4378.0	5.612123170541425e-05
dana	LINE/I-Jockey::Jockey-6_DAn	101	87457.0	0.0011211042853495692
dana	LINE/RTE-BovB::RTE-1_DAn	41	5086.0	6.519702705658677e-05
dana	LTR/Gypsy::Gypsy-14_DAn-I	155	46291.0	0.0005934006251428349
dana	LTR/Gypsy::Gypsy-2_DAn-LTR	21	3279.0	4.203323863911679e-05
dana	LINE/I	18	4059.0	5.20319962293916e-05
dana	LTR/Pao::BEL-12_DAn-I	25	2754.0	3.530330564566259e-05
dana	LTR/Pao	11	2450.0	3.140635396945292e-05
dana	DNA/TcMar-Mariner::Mariner-5_DBi	112	33941.0	0.000435086963296817
dana	LTR/Gypsy::Gypsy-27_DAn-I	29	18321.0	0.00023485543309157022
dana	LTR/Pao::BEL-6_DYa-I	14	956.0	1.2254887508080406e-05
dana	LTR/Gypsy::Gypsy-17_DAn-I	77	25858.0	0.00033147163303759745
dana	DNA/TcMar-Mariner::MARINA	62	28334.0	0.0003632112789267262
dana	LTR/Gypsy::Gypsy-13_DTa-I	47	8109.0	0.00010394862217889541
dana	LTR/Gypsy::Gypsy-28_DAn-I	27	5655.0	7.249099252949236e-05
dana	DNA	26	20738.0	0.0002658387627014346
dana	DNA/TcMar-Tc1::Mariner-3_DEl	22	1706.0	2.186907749872926e-05
dana	DNA/TcMar-Tc1::Mariner-13_DAn	30	13126.0	0.00016826114375634248
dana	DNA/Zator::Zator-2_DF	35	3389.0	4.344331983774529e-05
dana	DNA/Zator	32	5792.0	7.424718456778422e-05
dana	LTR/Pao::BEL-1_DAn-I	31	5502.0	7.052969777139999e-05
dana	DNA/TcMar-Tc1::Mariner-14_DAn	28	25277.0	0.00032402384052484146
dana	LINE/I-Jockey::Jockey-2_DAn	94	79788.0	0.0010227959879651877
dana	LTR/Gypsy::Gypsy-1_DEl-I	110	41581.0	0.0005330235120015601
dana	LTR/Pao::BEL-1_DBp-LTR	7	437.0	5.601868034551399e-06
dana	LTR/Copia::Copia-7_DAn-I	3	631.0	8.08873851213257e-06
dana	LTR/Gypsy::Gypsy-39_DAn-I	32	14361.0	0.00018409250994094427
dana	LINE/R1::R1B2_DAn	67	54863.0	0.0007032844072759574
dana	LTR/Copia	53	37960.0	0.0004866062027267073
dana	Simple_Repeat	23466	4336581.0	0.05559028485845067
dana	Satellite	23747	4082922.0	0.052338650433333335
dbia	Chimera/RC/Helitron	13775	3161953.0	0.05191878133347901
dbia	Unknown	66241	16315535.0	0.267898572181093
dbia	Chimera/LINE/I-Jockey	1763	194411.0	0.003192198681581601
dbia	Chimera/LTR/Gypsy	10896	3976020.0	0.06528563611082745
dbia	RC/Helitron::Helitron-N1_DBi	4926	751207.0	0.012334703257505335
dbia	RC/Helitron::Helitron-N2_DBi	6869	1968064.0	0.03231530780700789
dbia	DNA/CMC-EnSpm	111	27731.0	0.0004553387495508967
dbia	Chimera/LINE/Jockey	660	152971.0	0.002511760263154961
dbia	Chimera/LINE/R1	961	112080.0	0.0018403363401847932
dbia	SINE?	87	6962.0	0.0001143149678833559
dbia	RC/Helitron::Helitron-N2_DT	825	117261.0	0.0019254075623341277
dbia	LTR/Pao::BEL-2_DBi-I	431	136480.0	0.0022409805826946877
dbia	LTR/Pao::BEL-1_DBi-I	329	98123.0	0.0016111645494999328
dbia	Chimera/LTR/Pao	2765	1182055.0	0.019409161068853816
dbia	Unknown::REP-2_DTa	3569	451408.0	0.0074120498452010805
dbia	Chimera/LINE/RTE-BovB	1217	241879.0	0.003971615931723391
dbia	LINE/I::I-2_DBi	145	90454.0	0.0014852407504913926
dbia	DNA/TcMar-Tc1	87	8200.0	0.0001346427372369317
dbia	DNA/CMC-Transib::Transib-1_DRh	414	34282.0	0.0005629051607264015
dbia	RC/Helitron::Helitron-N3_DT	353	31435.0	0.000516157859151579
dbia	LINE/I-Jockey::Jockey-8_DEu	45	11405.0	0.00018726834368136658
dbia	LINE/I::I-3_DBi	63	16017.0	0.0002629966734541384
dbia	DNA/TcMar-Mariner::Mariner-4_DBi	235	35984.0	0.0005908517386260671
dbia	Chimera/Unknown	2357	408428.0	0.006706324863927505
dbia	DNA/PIF-Harbinger	280	45397.0	0.0007454117490664619
dbia	LINE/I::I-5_DBi	142	106591.0	0.0017502078054660716
dbia	LINE/I-Jockey::Jockey-2_DBi	121	21385.0	0.00035113840680631517
dbia	Chimera/DNA/TcMar-Mariner	1578	437906.0	0.00719034908444827
dbia	LINE/I-Jockey::Jockey-1_DBi	21	38008.0	0.0006240855069391829
dbia	LTR/Gypsy::Gypsy-6_DBi-I	98	37804.0	0.0006207358583542642
dbia	LTR/Gypsy::Gypsy-37_DEl-I	950	1053337.0	0.01729563133084609
dbia	DNA/hAT-Ac	60	9209.0	0.0001512103618554761
dbia	LINE/I-Jockey::Jockey-2_DEl	1305	245120.0	0.004024832652623988
dbia	LTR/Gypsy::Gypsy-9_DBi-LTR	2864	1549589.0	0.02544401275027314
dbia	Chimera/LINE/CR1	1289	551831.0	0.009060980040511372
dbia	LINE/I::I-2_DBp	39	2903.0	4.766681295107472e-05
dbia	LINE/I-Jockey::Jockey-1_DT	171	59633.0	0.000979164676786579
dbia	DNA/hAT-hATm	139	19533.0	0.000320728852005974
dbia	LTR/Gypsy::Gypsy-17_DBi-I	3121	2253982.0	0.03701003733692363
dbia	LTR/Gypsy::Gypsy-10_DBp-I	795	278429.0	0.0045717613031880065
dbia	DNA/Maverick::Polinton-1_DBi	2085	1939985.0	0.031854254951047434
dbia	LINE/CR1::CR1-3_DBi	408	105809.0	0.0017373674858905494
dbia	Chimera/DNA/CMC-Transib	400	106398.0	0.0017470387751872022
dbia	DNA/TcMar-Tc1::Mariner-4_DY	260	84154.0	0.0013817957206630183
dbia	DNA/TcMar-Mariner::Mariner-1_DBi	660	329958.0	0.005417859547954086
dbia	LINE/I::I-6_DBi	88	46858.0	0.0007694011440790422
dbia	LTR/Gypsy::Gypsy-1_DKi-I	167	115985.0	0.0019044558388323807
dbia	LTR/Gypsy::Gypsy-13_DBi-I	178	68951.0	0.001132164801856546
dbia	LINE/I::I-4_DBi	384	166722.0	0.0027375495655628935
dbia	DNA::DNA3-1_DF	63	7764.0	0.000127483684378968
dbia	DNA/TcMar-Mariner::Mariner-2_DF	40	2147.0	3.52534093716698e-05
dbia	DNA/TcMar-Mariner::Mariner-5_DBi	509	96085.0	0.001577700903342754
dbia	LTR/Pao	1049	179139.0	0.002941434793400818
dbia	Chimera/LINE/I	582	191896.0	0.003150902768880274
dbia	DNA/Kolobok-Hydra	65	10785.0	0.0001770880391585742
dbia	DNA/TcMar-Tc1::Mariner-9_DRh	40	11202.0	0.0001839351149424523
dbia	DNA/TcMar-Mariner::Mariner-1_Dro	419	147218.0	0.00241729688909105
dbia	LTR/Gypsy::Gypsy-10_DFi-I	185	117309.0	0.001926195714942344
dbia	DNA/Maverick::Polinton-2_DBi	5152	1336571.0	0.021946289994085735
dbia	LTR/Gypsy::Gypsy-5_DBi-LTR	71	20580.0	0.00033792043077268956
dbia	LTR/Gypsy::Gypsy-5_DBi-I	336	127459.0	0.002092857151888058
dbia	LTR/Gypsy::Gypsy-14_DBi-I	260	104624.0	0.0017179099683752124
dbia	LINE/I-Jockey::Jockey-1_DK	38	5427.0	8.911050426644248e-05
dbia	LINE/CR1::CR1-2_DBi	3424	2175200.0	0.03571644902899681
dbia	DNA/PIF-Harbinger::Harbinger-2B_DRh	59	5201.0	8.53996190694246e-05
dbia	DNA/Kolobok-Hydra::Kolobok-N1_DAn	99	13620.0	0.00022363830258134265
dbia	LTR/Gypsy	451	235454.0	0.003866118421144453
dbia	LINE/CR1::CR1-4_DT	539	166571.0	0.002735070168816213
dbia	DNA/TcMar-Tc1::Mariner-5_DEu	46	20332.0	0.0003338483089635726
dbia	LTR/Gypsy::Gypsy-16_DTa-I	21	11096.0	0.0001821946112659749
dbia	DNA/Sola	127	21359.0	0.00035071149081019806
dbia	LINE/R1::R1-1_DBi	167	138786.0	0.0022788447475810734
dbia	DNA/CMC-Transib::Transib-3_DBi	147	48772.0	0.0008008287293316625
dbia	DNA/CMC-Transib::Transib-5_DBi	75	27611.0	0.00045336836803035624
dbia	LTR/Copia	139	15126.0	0.00024836659066412544
dbia	LTR/Pao::BEL-21_DTa-LTR	99	19875.0	0.0003263444393395143
dbia	LTR/Pao::BEL-21_DTa-I	409	126981.0	0.002085008465497905
dbia	LINE/CR1::CR1-3_DT	99	36784.0	0.0006039876154296702
dbia	LINE/CR1::CR1-1_DEl	220	39338.0	0.000645923902125173
dbia	LTR/Gypsy::Gypsy-21_DEl-LTR	38	7425.0	0.0001219173565834412
dbia	LINE/R1::R1-2_DBi	927	674852.0	0.011080965915831442
dbia	Chimera/DNA/Maverick	1994	742867.0	0.012197761741827772
dbia	LTR/Gypsy::Gypsy-17_DBi-LTR	125	21611.0	0.00035484929200333304
dbia	DNA/CMC-Transib::Transib-1_DBi	45	7561.0	0.00012415045564005372
dbia	DNA/Maverick::Polinton-1_DEu	358	45722.0	0.0007507481990179257
dbia	LTR/Gypsy::Gypsy10-I_Dya	61	11672.0	0.0001916524425645691
dbia	LTR/Gypsy::Gypsy-32_DAn-I	346	164919.0	0.002707944583216773
dbia	LTR/Gypsy::Gypsy-3_DAn-I	62	8086.0	0.00013277087479241826
dbia	LTR/Gypsy::Gypsy-23_DY-I	59	6594.0	0.00010827246455369848
dbia	LTR/Gypsy::Gypsy-6_DTa-I	250	106898.0	0.0017552486981894542
dbia	DNA/TcMar-Tc1::Mariner-3_DBi	49	22538.0	0.0003700704892495081
dbia	LINE/RTE-BovB::RTE-4_DF	148	50684.0	0.0008322234748922739
dbia	LINE/L2::Kiri-1_DBi	777	159567.0	0.002620065567400668
dbia	LTR/Gypsy::Gypsy-3_DRh-LTR	133	42167.0	0.0006923756464719145
dbia	LINE/L2::Kiri-6_DK	40	5057.0	8.303516124477604e-05
dbia	LINE/I-Jockey::Jockey-9_DRh	957	126670.0	0.0020799018933905047
dbia	LINE/I-Jockey::Jockey-1_DEu	982	99318.0	0.0016307862654753149
dbia	LTR/Gypsy::Gypsy-13_DEu-LTR	440	218605.0	0.0035894604358145676
dbia	LTR/Gypsy::Gypsy-13_DEu-I	1604	465395.0	0.007641714231266077
dbia	LTR/Gypsy::Gypsy-9_DBi-I	3421	1995543.0	0.03276650875536566
dbia	Unknown::REP-1_DTa	470	103982.0	0.001707368427240321
dbia	LTR/Gypsy::Gypsy-11_DBp-I	694	182005.0	0.002988494072049726
dbia	LTR/Gypsy::Gypsy-18_DBp-I	170	43321.0	0.000711324148761112
dbia	LINE/CR1::CR1-2_DT	109	29784.0	0.0004890486933981431
dbia	LTR/Gypsy::Gypsy-18_DEl-LTR	55	8484.0	0.0001393059735022108
dbia	DNA/TcMar-Mariner::Mariner-1_DPe	64	8522.0	0.00013992992765038195
dbia	LTR/Gypsy::Gypsy-18_DEl-I	1097	424639.0	0.0069725069875065165
dbia	Chimera/LTR	578	173559.0	0.0028498120526956865
dbia	LTR/Gypsy::Gypsy-1_DBi-I	486	69047.0	0.0011337411070729785
